platforms	https://code.claude.com/docs/en/platforms.md
vs-code	https://code.claude.com/docs/en/vs-code.md
jetbrains	https://code.claude.com/docs/en/jetbrains.md
desktop	https://code.claude.com/docs/en/desktop.md
desktop-quickstart	https://code.claude.com/docs/en/desktop-quickstart.md
desktop-scheduled-tasks	https://code.claude.com/docs/en/desktop-scheduled-tasks.md
claude-code-on-the-web	https://code.claude.com/docs/en/claude-code-on-the-web.md
web-quickstart	https://code.claude.com/docs/en/web-quickstart.md
web-scheduled-tasks	https://code.claude.com/docs/en/web-scheduled-tasks.md
chrome	https://code.claude.com/docs/en/chrome.md
remote-control	https://code.claude.com/docs/en/remote-control.md
computer-use	https://code.claude.com/docs/en/computer-use.md
fast-mode	https://code.claude.com/docs/en/fast-mode.md
