hooks-guide	https://code.claude.com/docs/en/hooks-guide.md
hooks	https://code.claude.com/docs/en/hooks.md
mcp	https://code.claude.com/docs/en/mcp.md
tools-reference	https://code.claude.com/docs/en/tools-reference.md
skills	https://code.claude.com/docs/en/skills.md
commands	https://code.claude.com/docs/en/commands.md
interactive-mode	https://code.claude.com/docs/en/interactive-mode.md
keybindings	https://code.claude.com/docs/en/keybindings.md
fullscreen	https://code.claude.com/docs/en/fullscreen.md
statusline	https://code.claude.com/docs/en/statusline.md
terminal-config	https://code.claude.com/docs/en/terminal-config.md
voice-dictation	https://code.claude.com/docs/en/voice-dictation.md
output-styles	https://code.claude.com/docs/en/output-styles.md
